example_id                                                               | status | run_time        |
./spec/lib/active_data_flow/configuration_spec.rb[1:6:3]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[2:1:1]                 | passed | 0.00011 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[2:1:2]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[2:2:1]                 | passed | 0.00062 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[2:2:2]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[2:2:3]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[2:3:1]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:1:1:1] | failed | 0.00002 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:1:1:2] | passed | 0.00003 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:1:1:3] | passed | 0.00002 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:1:2:1] | failed | 0.00002 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:1:2:2] | passed | 0.00004 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:2:1:1] | failed | 0.00184 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:2:1:2] | passed | 0.00005 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:2:1:3] | passed | 0.00004 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:2:2:1] | passed | 0.00007 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:2:2:2] | passed | 0.00007 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:3:1]   | failed | 0.00043 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:3:2]   | failed | 0.00007 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:3:3]   | passed | 0.00007 seconds |
./spec/lib/active_data_flow/model_interface_consistency_spec.rb[1:3:4]   | passed | 0.00081 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:1:1:1]      | passed | 0.00007 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:1:2:1]      | failed | 0.00119 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:1:3:1]      | failed | 0.02953 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:2:1]        | passed | 0.00015 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:2:2:1]      | passed | 0.00014 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:2:3:1]      | passed | 0.00014 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:3:1:1]      | passed | 0.00002 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:3:1:2]      | passed | 0.00002 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:3:2:1]      | passed | 0.00002 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:3:2:2]      | passed | 0.00003 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:3:3:1]      | passed | 0.00002 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:3:3:2]      | passed | 0.00002 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:4:1:1]      | passed | 0.00017 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:4:2:1]      | passed | 0.00019 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:4:3:1]      | passed | 0.00017 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:4:4:1]      | passed | 0.00019 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:5:1]        | passed | 0.00033 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:5:2]        | passed | 0.00018 seconds |
./spec/lib/active_data_flow/storage_backend_loader_spec.rb[1:5:3]        | passed | 0.00031 seconds |
./spec/lib/active_data_flow_spec.rb[1:1]                                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow_spec.rb[1:2]                                 | passed | 0.00022 seconds |
./spec/lib/update_command_spec.rb[1:1:1:1]                               | passed | 0.00038 seconds |
./spec/lib/update_command_spec.rb[1:1:1:2:1]                             | passed | 0.00033 seconds |
./spec/lib/update_command_spec.rb[1:1:1:2:2]                             | passed | 0.00035 seconds |
./spec/lib/update_command_spec.rb[1:1:1:3:1]                             | passed | 0.00162 seconds |
./spec/lib/update_command_spec.rb[1:1:1:4:1]                             | passed | 0.00181 seconds |
./spec/lib/update_command_spec.rb[1:1:1:5:1]                             | passed | 0.00136 seconds |
./spec/lib/update_command_spec.rb[1:1:2:1]                               | passed | 0.00475 seconds |
